date,open,close,high,low,volume,amount
2016/1/4,11.81,10.54,11.81,10.53,140399,157014608
2016/1/5,9.62,10.74,11.13,9.62,227575,241876512
2016/1/6,10.92,10.89,11.01,10.63,127542,139068480
2016/1/7,10.71,9.92,10.71,9.85,29641,30607386
2016/1/8,10.21,9.9,10.39,9.03,182080,181469392
2016/1/11,9.92,9.67,10.43,9.43,199626,201338048
2016/1/12,9.91,9.49,9.92,9.29,152007,145629888
2016/1/13,9.59,8.6,9.68,8.56,156927,143872800
2016/1/14,8.43,9.15,9.2,8.11,207179,180296752
2016/1/15,9.82,9.26,9.82,9.1,368126,350296064
2016/1/18,9.27,9.2,9.43,8.79,202179,186536336
2016/1/19,9.13,9.61,9.79,9.03,276151,264090496
2016/1/20,9.6,9.23,9.69,9.21,236242,223858336
2016/1/21,8.93,8.46,9.2,8.33,202141,180039424
2016/1/22,8.66,8.58,8.78,8.23,149975,128316920
2016/1/25,8.8,8.88,9.18,8.69,163552,147330448
2016/1/26,8.84,8.17,8.84,8.03,147504,125733016
2016/1/27,8.19,8.38,8.42,7.66,158852,128078912
2016/1/28,8.32,7.92,8.32,7.73,92382,74925040
2016/1/29,7.73,8.31,8.39,7.73,147608,121433232
2016/2/1,8.31,8.24,8.48,8.02,89393,74388256
2016/2/2,8.33,8.46,8.49,8.25,107846,91501176
2016/2/3,8.35,8.43,8.46,8.19,73610,61695780
2016/2/4,8.43,8.53,8.65,8.39,132244,114012552
2016/2/5,8.54,8.51,8.6,8.32,101291,86597096
2016/2/15,8.17,8.3,8.38,8.01,70632,58576024
2016/2/16,8.31,8.6,8.65,8.31,110375,95030016
2016/2/17,8.64,8.74,8.92,8.54,166151,146691424
2016/2/18,8.84,8.63,8.87,8.58,159255,139835840
2016/2/19,8.58,8.62,8.67,8.45,102080,88177896
2016/2/22,8.76,8.81,8.91,8.68,178803,158674416
2016/2/23,8.89,8.71,8.89,8.62,132026,116707544
2016/2/24,8.68,8.74,8.82,8.46,160932,139999552
2016/2/25,8.73,7.89,8.73,7.86,177031,147493904
2016/2/26,8.03,7.84,8.08,7.55,124481,98449944
2016/2/29,7.85,7.23,7.87,7.13,111769,82910264
2016/3/1,7.24,7.96,7.96,7.03,345972,264568800
2016/3/2,8.01,8.41,8.47,7.86,300321,247339184
2016/3/3,8.49,8.26,8.49,8.16,167942,140315328
2016/3/4,8.13,8.01,8.24,7.68,136973,110527984
2016/3/7,8.08,8.14,8.23,8.08,101329,83438280
2016/3/8,8.14,8.41,8.45,7.74,159594,131095632
2016/3/9,8.27,8.57,8.63,8.03,205979,173994880
2016/3/10,8.73,9.06,9.4,8.62,477074,435650016
2016/3/11,8.92,9.1,9.4,8.59,320776,292423968
2016/3/14,9.12,9.29,9.42,8.93,296684,276975968
2016/3/15,9.15,9.18,9.23,8.9,240712,220232416
2016/3/16,9.17,9.18,9.29,8.93,167509,153717136
2016/3/17,9.16,9.28,9.3,9.01,226617,210157024
2016/3/18,9.33,9.95,9.95,9.14,376976,365311264
2016/3/21,10.04,10.06,10.43,9.84,353374,358328736
2016/3/22,10.03,10.08,10.13,9.81,244060,244543856
2016/3/23,10.01,10.1,10.16,9.85,184061,185542528
2016/3/24,10.01,10.09,10.4,9.88,245509,251780336
2016/3/25,10.05,10.34,10.48,9.98,209984,217531648
2016/3/28,10.36,10.91,11.18,10.36,360821,392359296
2016/3/29,11.12,10.47,11.18,10.1,300254,321185920
2016/3/30,10.5,10.95,11.03,10.5,267041,289060640
2016/3/31,11.31,10.74,11.31,10.65,264688,288172576
