index,open,close,high,low,vol,amount
2016-07-15,14.27,14.27,14.27,14.27,10371.0,22206452.0
2016-07-18,12.85,12.85,12.85,12.85,10070.0,19406816.0
2016-07-19,11.98,11.96,12.52,11.75,323546.0,586803904.0
2016-07-20,11.73,11.97,12.23,11.67,182448.0,328438880.0
2016-07-21,12.03,11.73,12.03,11.71,120493.0,213144640.0
2016-07-22,11.7,11.37,11.8,11.34,111857.0,192476208.0
2016-07-25,11.41,11.65,11.69,11.35,91485.0,158388496.0
2016-07-26,11.65,11.69,11.69,11.44,64250.0,111964376.0
2016-07-27,11.7,10.84,11.71,10.55,105358.0,176898288.0
2016-07-28,10.79,10.63,10.95,10.33,80957.0,129252992.0
2016-07-29,10.75,11.7,11.7,10.75,192472.0,330639552.0
2016-08-01,11.8,12.72,12.87,11.77,341476.0,636145664.0
2016-08-02,12.61,12.46,12.61,12.07,216155.0,399761920.0
2016-08-03,12.33,12.77,12.95,12.13,219036.0,410086816.0
2016-08-04,12.57,12.51,12.9,12.31,155764.0,293348608.0
2016-08-05,12.37,12.01,12.37,12.0,119718.0,219170784.0
2016-08-08,11.99,12.13,12.26,11.55,126396.0,224763728.0
2016-08-09,12.07,12.01,12.13,11.87,87564.0,157782000.0
2016-08-10,12.0,12.41,12.65,11.94,142312.0,262267328.0
2016-08-11,12.27,12.01,12.32,11.93,90034.0,163634176.0
2016-08-12,12.05,12.11,12.31,12.01,70108.0,127987456.0
2016-08-15,12.18,12.25,12.31,11.88,93842.0,170898336.0
2016-08-16,12.26,12.77,12.86,12.26,160307.0,303952800.0
2016-08-17,12.77,12.53,12.8,12.44,98178.0,185079424.0
2016-08-18,12.49,13.43,13.76,12.43,195296.0,385540448.0
2016-08-19,13.23,13.61,13.93,13.17,161508.0,329486976.0
2016-08-22,13.45,14.27,14.74,13.2,158773.0,328564928.0
2016-08-23,14.27,14.74,15.3,13.93,190130.0,417370432.0
2016-08-24,14.59,14.59,14.96,14.39,116304.0,254924352.0
2016-08-25,14.47,14.75,14.92,14.13,120006.0,262403856.0
2016-08-26,14.63,14.41,14.79,14.34,80916.0,176570304.0
2016-08-29,14.33,14.13,14.62,14.09,66273.0,141888352.0
2016-08-30,13.93,14.15,14.32,13.87,69778.0,147739088.0
2016-08-31,14.09,14.93,14.93,14.02,108871.0,238414192.0
